eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
1	1	0.6289699699530151	630.8125012042798	0.05946148928949212	2.425655209345857	22.25	22.25	11.25	7.25	5.25	4.25	
2	1	0.5837615568871404	741.4835795497271	0.10813158786530686	0.7299514992822236	21.5	21.5	10.5	6.5	5.25	4.25	
3	1	0.6014017495884948	779.0196693267042	0.07882228577515263	1.3575146521282075	20.5	20.5	10.5	7.5	5.25	4.25	
4	1	0.6082991923192288	651.3583523765991	0.07122423641505074	1.5823481123155565	20.5	20.5	10.25	6.5	5.25	3.5	
5	1	0.5961315017476507	712.4892853466737	0.10143046164423845	0.8419648223284963	22.25	22.25	11.25	6.5	5.25	3.5	
6	1	0.6549403927438151	705.0448878139116	0.03810620619838208	1.365840709460796	21.5	21.5	11.25	7.5	6.25	4.5	
7	1	0.6439089858104068	740.8517425185563	0.050684983168883424	1.3903473677664022	24.25	24.25	12.25	8.25	6.25	4.5	
8	1	0.6057494627634032	787.7078453597408	0.08113497102064157	0.774469302157768	22.5	22.5	11.5	7.5	6.25	4.25	
9	1	0.5904994504364955	729.5966117541074	0.09925784383887273	1.2072219947321012	22.25	22.25	10.5	7.5	5.25	4.25	
10	1	0.6485810256144512	882.6947867723397	0.04274318927602095	1.9160904077602356	24.5	24.5	13.5	9.5	7.25	5.5	
11	1	0.6404907916163479	862.1634323164167	0.049322206337628814	1.5320942840437617	21.25	21.25	11.5	8.25	6.5	5.25	
12	1	0.5870821267237664	814.7771413112287	0.09206136616451559	1.2642065340697062	21.25	21.25	11.25	7.25	5.5	4.25	
13	1	0.6311402914600215	779.2213906485068	0.06226262530745821	0.90990276617595	24.5	24.5	12.5	8.25	6.25	5.25	
14	1	0.6298214451885864	740.8209932141721	0.05673351978366069	0.7378768959159774	22.5	22.5	11.5	7.5	6.25	4.25	
15	1	0.6412935044918986	640.5731102325915	0.04130124801746402	1.4231203622676458	19.25	19.25	9.5	7.25	5.25	4.25	
16	1	0.6306979742519944	815.6703708667806	0.06282058053171614	2.181808230744882	23.25	23.25	12.25	8.5	6.5	5.25	
17	1	0.6713191534514203	773.1574791008866	0.03107495086931726	1.4558442765164525	23.25	23.25	12.5	8.5	7.25	5.25	
18	1	0.596096813341163	846.9880052297264	0.08788484333275516	0.936546065391039	22.25	22.25	11.5	8.25	6.25	5.25	
19	1	0.6278382424299592	710.571867271883	0.06218385304405827	2.4039205821692216	25.25	25.25	12.5	8.25	5.5	4.5	
20	1	0.5933634819281187	758.6267126630149	0.09933388771285145	1.0084925094676847	22.25	22.25	11.25	7.5	5.25	4.25	
