eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
1	1	0.5390508031418598	980.7565080094876	0.15020808122377655	0.4315141310750345	19.25	19.25	10.25	7.25	5.5	4.25	
2	1	0.6721514930979355	819.2427077950513	0.18044246198174319	0.3861868515027879	101.25	101.25	43.25	24.5	15.5	10.25	
3	1	0.5822107008573151	515.3314260276386	0.2820761664116333	0.9637594156787107	46.5	46.5	20.25	11.25	7.25	4.5	
4	1	0.5359065463975176	802.4762586578099	0.033487933935415236	0.4126623425471134	7.25	7.25	5.25	3.5	3.5	2.5	
5	1	0.4389238394711238	206.4469832820399	0.2700390190238104	0.4644501646339079	8.25	8.25	3.5	2.25	1.25	0.5	
6	1	0.6167152904533248	675.9289191947714	0.27154876915108217	0.6146068815151607	70.25	70.25	29.5	17.25	10.5	7.25	
7	1	0.45006976901015405	229.01795866814177	0.09204919881879794	1.3781697380337994	3.5	3.5	1.5	1.25	0.5	0.5	
8	1	0.8134184006256638	950.2020253446256	0.060281256085392795	0.3728000457520508	275.5	275.5	116.25	65.25	40.5	24.25	
9	1	0.8709302084008235	569.6634895750644	0.13301705686043172	1.4476768719862494	400.25	400.25	400.25	303.5	171.5	88.25	
10	1	0.40675321506062223	473.19574599147126	0.15184720066762283	0.37176294421881	4.25	4.25	2.25	1.25	1.25	1.25	
11	1	0.7333800304661316	338.10005089416427	0.23237674046297307	3.3097057601206035	303.5	303.5	120.25	63.25	36.25	18.5	
12	1	0.5231159358023236	796.810320490795	0.18105459025030496	0.7134275416162383	17.25	17.25	9.25	6.25	4.5	3.25	
13	1	0.5544356488751458	510.5352989948937	0.39546579684309824	3.32640548392289	45.5	45.5	19.25	10.5	7.25	4.5	
14	1	0.8404773106341289	611.5905539817836	0.04979747619173095	0.8822777873589156	340.5	340.5	138.5	74.25	43.5	24.5	
15	1	0.15682884655830956	116.91082039271963	0.09146193487698553	1.1314364985147933	0.25	0.25	0.25	0.25	0.25	0.25	
16	1	0.1697034397612326	655.8719473682894	0.07291071197514853	0.3018155315249435	0.25	0.25	0.25	0.25	0.25	0.25	
17	1	0.11617471795226059	650.8861504501792	0.2647122469315054	0.5382748866862376	0.5	0.5	0.25	0.25	0.25	0.25	
18	1	0.7660958764383504	655.2405971872812	0.10878372499051502	0.39574497489643046	232.5	232.5	95.25	51.5	31.25	17.5	
19	1	0.7225254007598804	949.3732706631617	0.19186120141395946	0.549808868587524	216.25	216.25	90.5	51.25	31.5	19.25	
20	1	0.7960097185974554	713.6382691931351	0.10532598088062507	0.39433172393826654	353.5	353.5	143.25	77.25	46.25	25.5	
